subject,fold,split,trial_id,t0_sec,pred,y,p_max,p0,p1,p2
openbmi:subj01,4,val,0,0.4000000059604645,2,2,0.9637848734855652,0.0205701757222414,0.015645017847418785,0.9637848734855652
openbmi:subj01,4,val,0,0.46000000834465027,2,2,0.983359694480896,0.004582197405397892,0.012058075517416,0.983359694480896
openbmi:subj01,4,val,0,0.5199999809265137,2,2,0.9771766066551208,0.005640910007059574,0.017182454466819763,0.9771766066551208
openbmi:subj01,4,val,0,0.5799999833106995,2,2,0.9772710204124451,0.00433738948777318,0.018391549587249756,0.9772710204124451
openbmi:subj01,4,val,0,0.6399999856948853,2,2,0.9602611660957336,0.014593183062970638,0.02514573372900486,0.9602611660957336
openbmi:subj01,4,val,0,0.699999988079071,2,2,0.8530805706977844,0.03514615818858147,0.11177331954240799,0.8530805706977844
openbmi:subj01,4,val,0,0.7599999904632568,2,2,0.727017343044281,0.045742880553007126,0.22723975777626038,0.727017343044281
openbmi:subj01,4,val,0,0.8199999928474426,2,2,0.7484349012374878,0.07115966081619263,0.1804054230451584,0.7484349012374878
openbmi:subj01,4,val,0,0.8799999952316284,2,2,0.6422995924949646,0.05511632561683655,0.30258408188819885,0.6422995924949646
openbmi:subj01,4,val,0,0.9399999976158142,1,2,0.5190310478210449,0.04600929841399193,0.5190310478210449,0.43495965003967285
openbmi:subj01,4,val,0,1.0,1,2,0.5964036583900452,0.039945926517248154,0.5964036583900452,0.3636504113674164
openbmi:subj01,4,val,1,0.4000000059604645,2,1,0.49424484372138977,0.02322809025645256,0.4825269877910614,0.49424484372138977
openbmi:subj01,4,val,1,0.46000000834465027,2,1,0.5352922677993774,0.013351221568882465,0.4513565003871918,0.5352922677993774
openbmi:subj01,4,val,1,0.5199999809265137,2,1,0.49704813957214355,0.010603096336126328,0.4923487603664398,0.49704813957214355
openbmi:subj01,4,val,1,0.5799999833106995,2,1,0.5633369088172913,0.008791375905275345,0.4278717339038849,0.5633369088172913
openbmi:subj01,4,val,1,0.6399999856948853,2,1,0.5244163870811462,0.014574055559933186,0.46100956201553345,0.5244163870811462
openbmi:subj01,4,val,1,0.699999988079071,2,1,0.5234200954437256,0.01812964677810669,0.4584503173828125,0.5234200954437256
openbmi:subj01,4,val,1,0.7599999904632568,2,1,0.5606074929237366,0.012357551604509354,0.4270349144935608,0.5606074929237366
openbmi:subj01,4,val,1,0.8199999928474426,1,1,0.5376808047294617,0.022028233855962753,0.5376808047294617,0.44029098749160767
openbmi:subj01,4,val,1,0.8799999952316284,1,1,0.6700693964958191,0.015011504292488098,0.6700693964958191,0.3149190843105316
openbmi:subj01,4,val,1,0.9399999976158142,1,1,0.7082362771034241,0.013102349825203419,0.7082362771034241,0.2786613702774048
openbmi:subj01,4,val,1,1.0,1,1,0.773167610168457,0.03557535260915756,0.773167610168457,0.191257044672966
openbmi:subj01,4,val,2,0.4000000059604645,2,2,0.694988489151001,0.10668949037790298,0.19832199811935425,0.694988489151001
openbmi:subj01,4,val,2,0.46000000834465027,2,2,0.740810215473175,0.15242178738117218,0.10676801204681396,0.740810215473175
openbmi:subj01,4,val,2,0.5199999809265137,2,2,0.6913549304008484,0.24692131578922272,0.061723776161670685,0.6913549304008484
openbmi:subj01,4,val,2,0.5799999833106995,2,2,0.7278883457183838,0.22807513177394867,0.04403657093644142,0.7278883457183838
openbmi:subj01,4,val,2,0.6399999856948853,2,2,0.7253192067146301,0.24446208775043488,0.03021872602403164,0.7253192067146301
openbmi:subj01,4,val,2,0.699999988079071,2,2,0.6391068696975708,0.3257102072238922,0.03518293797969818,0.6391068696975708
openbmi:subj01,4,val,2,0.7599999904632568,2,2,0.6247909069061279,0.3160010874271393,0.0592079684138298,0.6247909069061279
openbmi:subj01,4,val,2,0.8199999928474426,2,2,0.49878594279289246,0.35910171270370483,0.14211226999759674,0.49878594279289246
openbmi:subj01,4,val,2,0.8799999952316284,0,2,0.4417954981327057,0.4417954981327057,0.21761859953403473,0.3405858874320984
openbmi:subj01,4,val,2,0.9399999976158142,0,2,0.5015072226524353,0.5015072226524353,0.19517187774181366,0.30332091450691223
openbmi:subj01,4,val,2,1.0,0,2,0.5344881415367126,0.5344881415367126,0.1972595602273941,0.26825228333473206
openbmi:subj01,4,val,3,0.4000000059604645,1,2,0.5990465879440308,0.04654352366924286,0.5990465879440308,0.3544098734855652
openbmi:subj01,4,val,3,0.46000000834465027,1,2,0.5289595723152161,0.09201852232217789,0.5289595723152161,0.37902188301086426
