subject,fold,split,trial_id,t0_sec,pred,y,p_max,p0,p1,p2
openbmi:subj02,2,val,150,0.4000000059604645,0,1,0.542255699634552,0.542255699634552,0.4577443301677704,0.0
openbmi:subj02,2,val,150,0.46000000834465027,0,1,0.6108275055885315,0.6108275055885315,0.3891725242137909,0.0
openbmi:subj02,2,val,150,0.5199999809265137,0,1,0.5828189253807068,0.5828189253807068,0.4171810746192932,0.0
openbmi:subj02,2,val,150,0.5799999833106995,0,1,0.6165239810943604,0.6165239810943604,0.38347604870796204,0.0
openbmi:subj02,2,val,150,0.6399999856948853,0,1,0.6368066668510437,0.6368066668510437,0.3631933033466339,0.0
openbmi:subj02,2,val,150,0.699999988079071,0,1,0.5707274675369263,0.5707274675369263,0.42927250266075134,0.0
openbmi:subj02,2,val,150,0.7599999904632568,0,1,0.5470515489578247,0.5470515489578247,0.4529484808444977,0.0
openbmi:subj02,2,val,150,0.8199999928474426,1,1,0.5119470357894897,0.48805296421051025,0.5119470357894897,0.0
openbmi:subj02,2,val,150,0.8799999952316284,1,1,0.6328610181808472,0.36713895201683044,0.6328610181808472,0.0
openbmi:subj02,2,val,150,0.9399999976158142,1,1,0.6126036047935486,0.38739633560180664,0.6126036047935486,0.0
openbmi:subj02,2,val,150,1.0,1,1,0.5417940616607666,0.4582059383392334,0.5417940616607666,0.0
openbmi:subj02,2,val,151,0.4000000059604645,1,1,0.9622597098350525,0.037740230560302734,0.9622597098350525,0.0
openbmi:subj02,2,val,151,0.46000000834465027,1,1,0.9638837575912476,0.03611622378230095,0.9638837575912476,0.0
openbmi:subj02,2,val,151,0.5199999809265137,1,1,0.9770325422286987,0.022967448458075523,0.9770325422286987,0.0
openbmi:subj02,2,val,151,0.5799999833106995,1,1,0.9830012321472168,0.016998745501041412,0.9830012321472168,0.0
openbmi:subj02,2,val,151,0.6399999856948853,1,1,0.9822339415550232,0.017766073346138,0.9822339415550232,0.0
openbmi:subj02,2,val,151,0.699999988079071,1,1,0.9715931415557861,0.02840682677924633,0.9715931415557861,0.0
openbmi:subj02,2,val,151,0.7599999904632568,1,1,0.9702638387680054,0.029736213386058807,0.9702638387680054,0.0
openbmi:subj02,2,val,151,0.8199999928474426,1,1,0.9611217379570007,0.03887832164764404,0.9611217379570007,0.0
openbmi:subj02,2,val,151,0.8799999952316284,1,1,0.9385587573051453,0.061441268771886826,0.9385587573051453,0.0
openbmi:subj02,2,val,151,0.9399999976158142,1,1,0.9013568162918091,0.09864320605993271,0.9013568162918091,0.0
openbmi:subj02,2,val,151,1.0,1,1,0.8488243818283081,0.1511756330728531,0.8488243818283081,0.0
openbmi:subj02,2,val,152,0.4000000059604645,1,1,0.7669768929481506,0.23302310705184937,0.7669768929481506,0.0
openbmi:subj02,2,val,152,0.46000000834465027,1,1,0.8607707619667053,0.1392291933298111,0.8607707619667053,0.0
openbmi:subj02,2,val,152,0.5199999809265137,1,1,0.8940417766571045,0.10595827549695969,0.8940417766571045,0.0
openbmi:subj02,2,val,152,0.5799999833106995,1,1,0.912147581577301,0.08785243332386017,0.912147581577301,0.0
openbmi:subj02,2,val,152,0.6399999856948853,1,1,0.8736101388931274,0.12638984620571136,0.8736101388931274,0.0
openbmi:subj02,2,val,152,0.699999988079071,1,1,0.7911941409111023,0.2088058739900589,0.7911941409111023,0.0
openbmi:subj02,2,val,152,0.7599999904632568,1,1,0.7071561217308044,0.29284384846687317,0.7071561217308044,0.0
openbmi:subj02,2,val,152,0.8199999928474426,1,1,0.5977903604507446,0.402209609746933,0.5977903604507446,0.0
openbmi:subj02,2,val,152,0.8799999952316284,1,1,0.5092390775680542,0.4907608926296234,0.5092390775680542,0.0
openbmi:subj02,2,val,152,0.9399999976158142,0,1,0.5069300532341003,0.5069300532341003,0.49306994676589966,0.0
openbmi:subj02,2,val,152,1.0,1,1,0.564379870891571,0.43562015891075134,0.564379870891571,0.0
openbmi:subj02,2,val,153,0.4000000059604645,1,1,0.6069543361663818,0.39304569363594055,0.6069543361663818,0.0
openbmi:subj02,2,val,153,0.46000000834465027,1,1,0.6859399676322937,0.3140600025653839,0.6859399676322937,0.0
openbmi:subj02,2,val,153,0.5199999809265137,1,1,0.6726824045181274,0.32731762528419495,0.6726824045181274,0.0
openbmi:subj02,2,val,153,0.5799999833106995,1,1,0.6588088870048523,0.3411910831928253,0.6588088870048523,0.0
