trial_id,phase,learn_step,label,object,scene,rejected,t_trial_start,t_fixation,t_cue,t_mi_start,t_mi_end,t_rest_start,t_rest_end,t_transition,t_trial_end,mi_dur,rest_dur
1,adapt,,2,cup,home_desk,0,313313.0683959,313313.0688137,313315.0701946,313317.0716045,313321.0719591,313322.0737454,313326.0741747,313326.0753329,313329.0756556,4.000354600022547,4.000429300009273
2,adapt,,1,cup,home_desk,0,313329.0766064,313329.0770399,313331.0792391,313333.0808308,313337.0814594,313338.084402,313342.0847867,313342.0856054,313345.0858321,4.000628600013442,4.0003847000189126
3,acquire,,1,bottle,home_desk,0,313345.0880784,313345.0887402,313347.0896807,313349.0907837,313353.0909334,313354.0929538,313358.0932556,313358.0939989,313361.0944825,4.000149699975736,4.000301800027955
4,acquire,,2,bottle,home_desk,0,313361.0962126,313361.0969909,313363.0981928,313365.0990053,313369.0993122,313370.1020845,313374.1022303,313374.1036325,313377.1042372,4.000306899950374,4.000145800004248
5,acquire,,1,apple,home_desk,0,313377.1060699,313377.1065603,313379.1080252,313381.1091498,313385.1095729,313386.1116384,313390.1120724,313390.1131646,313393.1134329,4.000423100020271,4.0004339999868535
6,acquire,,2,apple,home_desk,0,313393.1148003,313393.1156142,313395.1167585,313397.1188657,313401.1190133,313402.1216244,313406.1217963,313406.1224075,313409.1226164,4.000147600017954,4.000171899970155
7,acquire,,2,cup,home_desk,0,313409.1239177,313409.1245655,313411.126156,313413.1273678,313417.1279029,313418.1297353,313422.1299005,313422.1307358,313425.1310001,4.000535099999979,4.000165199977346
8,acquire,,1,cup,home_desk,0,313425.1332167,313425.13389,313427.1354398,313429.1363674,313433.1366024,313434.1383747,313438.1386925,313438.1394871,313441.139849,4.0002349999849685,4.000317800033372
9,acquire,,2,bottle,home_desk,0,313441.141839,313441.1421909,313443.1432598,313445.1444389,313449.1446783,313450.1475539,313454.1479369,313454.1494549,313457.149844,4.000239400018472,4.00038299994776
10,acquire,,1,bottle,home_desk,0,313457.1510937,313457.1517141,313459.1531454,313461.1542693,313465.1546412,313466.1575046,313470.1578651,313470.1585901,313473.1590838,4.000371899979655,4.000360500009265
11,acquire,,1,apple,hospital_desk,0,313473.1608557,313473.1611014,313475.1626148,313477.1637594,313481.1641518,313482.1665688,313486.1671378,313486.1680616,313489.1683086,4.000392399961129,4.00056900002528
12,acquire,,2,apple,hospital_desk,0,313489.1698224,313489.1703479,313491.1711736,313493.1723323,313497.1725263,313498.1747381,313502.1750204,313502.1760159,313505.1764282,4.00019400002202,4.000282300054096
13,acquire,,1,cup,hospital_desk,0,313505.1784796,313505.1793328,313507.1806001,313509.18186,313513.1820254,313514.1842873,313518.1847483,313518.1859268,313521.1862499,4.000165399978869,4.000461000017822
14,acquire,,2,cup,hospital_desk,0,313521.1875662,313521.1879745,313523.1889902,313525.189606,313529.1899689,313530.1928379,313534.1931373,313534.1939831,313537.1944056,4.000362899969332,4.0002994000096805
15,acquire,,2,bottle,hospital_desk,0,313537.1960475,313537.1970548,313539.1982329,313541.1997857,313545.2000193,313546.2021175,313550.2026293,313550.2034099,313553.203601,4.000233599974308,4.000511799997184
16,acquire,,1,bottle,hospital_desk,0,313553.2060212,313553.2065985,313555.2077985,313557.2094334,313561.2098452,313562.2120451,313566.2130076,313566.2143369,313569.2147418,4.000411799992435,4.000962499994785
17,acquire,,1,apple,hospital_desk,0,313569.2159187,313569.2164113,313571.2173012,313573.2185937,313577.2190281,313578.2213098,313582.2217254,313582.2227567,313585.223297,4.000434400048107,4.00041560002137
18,acquire,,2,apple,hospital_desk,0,313585.2248408,313585.2254183,313587.2276806,313589.2286925,313593.2291274,313594.2316957,313598.2322622,313598.2336335,313601.2340767,4.0004348999937065,4.000566500006244
19,acquire,,1,cup,hospital_desk,0,313601.2357026,313601.2361214,313603.2373279,313605.2384228,313609.2387256,313610.2410316,313614.2412301,313614.2418448,313617.2422594,4.00030280003557,4.000198499998078
20,acquire,,2,cup,hospital_desk,0,313617.2435716,313617.2448839,313619.2463241,313621.2474446,313625.2478354,313626.2495614,313630.2500985,313630.2510763,313633.2514763,4.000390800007153,4.000537100015208
21,acquire,,2,bottle,school_desk,0,313633.2531251,313633.2537987,313635.2544667,313637.2555798,313641.2558153,313642.2577981,313646.2583403,313646.2595529,313649.2601167,4.000235499988776,4.000542199995834
22,acquire,,1,bottle,school_desk,0,313649.2615157,313649.2618901,313651.2629038,313653.2642345,313657.2648319,313658.2664147,313662.2665973,313662.2675272,313665.2681065,4.000597400008701,4.000182599993423
23,acquire,,2,apple,school_desk,0,313665.2695814,313665.2700886,313667.2713119,313669.2729582,313673.2732714,313674.2749614,313678.275447,313678.2768971,313681.2771727,4.000313199998345,4.000485599972308
24,acquire,,1,apple,school_desk,0,313681.2788378,313681.2795587,313683.2810215,313685.2823857,313689.2827865,313690.2848044,313694.2855518,313694.2870647,313697.2873197,4.000400800025091,4.000747399986722
25,acquire,,2,cup,school_desk,0,313697.2897113,313697.2904022,313699.2914319,313701.2927431,313705.2932349,313706.2954403,313710.2956393,313710.2965615,313713.2969694,4.00049179996131,4.000199000001885
26,acquire,,1,cup,school_desk,0,313713.2983208,313713.298827,313715.3006058,313717.3024969,313721.3030042,313722.3044997,313726.3046842,313726.3059585,313729.3061512,4.000507299962919,4.0001844999496825
27,acquire,,1,bottle,school_desk,0,313729.3073533,313729.3077365,313731.3093014,313733.3112459,313737.3117622,313738.3141933,313742.3145661,313742.3158386,313745.3168478,4.00051630003145,4.000372800044715
28,acquire,,2,bottle,school_desk,0,313745.3180371,313745.3183303,313747.3191536,313749.320896,313753.3211352,313754.323067,313758.3234489,313758.3247004,313761.3248583,4.000239199958742,4.000381899997592
29,acquire,,2,apple,school_desk,0,313761.3257206,313761.3261478,313763.3274336,313765.3286778,313769.3290493,313770.33335,313774.3336789,313774.3346694,313777.3349193,4.000371499976609,4.0003289000014775
30,acquire,,1,apple,school_desk,0,313777.3364725,313777.3369587,313779.3380892,313781.3392955,313785.3397078,313786.3418977,313790.3425363,313790.3435999,313793.3438562,4.000412299996242,4.00063860003138
31,acquire,,2,cup,home_desk,0,313793.3457362,313793.346417,313795.3472368,313797.3481842,313801.3483567,313802.3504312,313806.35085,313806.351685,313809.3522695,4.000172499974724,4.0004187999875285
32,acquire,,1,cup,home_desk,0,313809.3537576,313809.3541199,313811.3550087,313813.3560322,313817.3564827,313818.3584047,313822.3585174,313822.3594577,313825.3598669,4.000450499996077,4.0001126999850385
33,acquire,,2,bottle,home_desk,0,313825.3611443,313825.3614673,313827.3627724,313829.3638453,313833.364537,313834.3663289,313838.3667405,313838.3673545,313841.3677221,4.000691700028256,4.000411599990912
34,acquire,,1,bottle,home_desk,0,313841.369598,313841.3701865,313843.3713531,313845.3729966,313849.3736282,313850.3753711,313854.3755972,313854.3764165,313857.3767361,4.000631599978078,4.000226100033615
35,acquire,,1,apple,home_desk,0,313857.3786964,313857.3791218,313859.380421,313861.3814581,313865.3818422,313866.3838616,313870.3845592,313870.3861678,313873.3865737,4.000384100014344,4.000697600014973
36,acquire,,2,apple,home_desk,0,313873.3876794,313873.3881449,313875.3891433,313877.3909519,313881.3911832,313882.3931679,313886.3933864,313886.3944699,313889.3948516,4.0002313000150025,4.000218500033952
37,acquire,,1,cup,home_desk,0,313889.3964911,313889.3970089,313891.3997205,313893.4014742,313897.4018363,313898.4037994,313902.4041778,313902.4056137,313905.4062223,4.00036209996324,4.000378399970941
38,acquire,,2,cup,home_desk,0,313905.4080195,313905.4086963,313907.41096,313909.4123157,313913.4125332,313914.4164409,313918.4168159,313918.4176415,313921.4182136,4.00021749996813,4.00037500000326
39,acquire,,1,bottle,home_desk,0,313921.420016,313921.4205596,313923.4219807,313925.4229518,313929.4233732,313930.4255766,313934.4260806,313934.4266552,313937.4272598,4.000421400007326,4.000503999995999
40,acquire,,2,bottle,home_desk,0,313937.428814,313937.4292923,313939.4307199,313941.4317654,313945.4321326,313946.4344859,313950.4346704,313950.4355585,313953.4359558,4.000367200002074,4.00018450000789
41,acquire,,2,apple,hospital_desk,0,313953.4375767,313953.4379529,313955.4395932,313957.4403745,313961.4414221,313962.4446164,313966.4451462,313966.4461029,313969.4466484,4.001047600002494,4.00052980001783
42,acquire,,1,apple,hospital_desk,0,313969.4478824,313969.4487293,313971.4497923,313973.4511284,313977.4515149,313978.4535768,313982.4540683,313982.4547725,313985.4548782,4.000386500032619,4.000491500017233
43,acquire,,2,cup,hospital_desk,0,313985.4564271,313985.456847,313987.4578862,313989.4589264,313993.4593382,313994.4615706,313998.4623031,313998.4634729,314001.463613,4.000411799992435,4.000732499989681
44,acquire,,1,cup,hospital_desk,0,314001.4648744,314001.4655182,314003.4665935,314005.4678084,314009.4680763,314010.4700132,314014.4706347,314014.4718813,314017.4724593,4.000267900002655,4.000621499959379
45,acquire,,2,bottle,hospital_desk,0,314017.4738741,314017.474235,314019.4762138,314021.4768186,314025.4772194,314026.4792337,314030.4798669,314030.4806143,314033.4808649,4.000400800025091,4.000633199990261
46,acquire,,1,bottle,hospital_desk,0,314033.4821241,314033.4828912,314035.4842925,314037.4853334,314041.4857043,314042.4876251,314046.4885659,314046.4894112,314049.4895819,4.00037089997204,4.000940800004173
47,acquire,,2,apple,hospital_desk,0,314049.4911256,314049.4916938,314051.4929718,314053.4940141,314057.4945524,314058.4967862,314062.4969021,314062.4976885,314065.4980962,4.0005383000243455,4.000115900009405
48,acquire,,1,apple,hospital_desk,0,314065.4994806,314065.4998579,314067.5008695,314069.5023171,314073.5025728,314074.5047808,314078.5053369,314078.5063595,314081.5067061,4.0002556999679655,4.0005560999852605
49,acquire,,2,cup,hospital_desk,0,314081.5085316,314081.5091443,314083.5102911,314085.5116806,314089.5122299,314090.5142976,314094.5147895,314094.5159698,314097.5160954,4.00054929999169,4.000491899962071
50,acquire,,1,cup,hospital_desk,0,314097.5175526,314097.5180699,314099.5193141,314101.5208714,314105.5210788,314106.5231929,314110.5234281,314110.5248381,314113.5254945,4.000207400007639,4.000235199986491
51,acquire,,1,bottle,school_desk,0,314113.5278181,314113.5281005,314115.5293769,314117.5302985,314121.5308264,314122.5338482,314126.5344438,314126.5355983,314129.5363031,4.0005279000033624,4.000595599994995
52,acquire,,2,bottle,school_desk,0,314129.5376197,314129.5379164,314131.5392368,314133.5402869,314137.540894,314138.5431583,314142.5434246,314142.5445724,314145.5449229,4.000607099966146,4.0002662999904715
53,acquire,,2,apple,school_desk,0,314145.548456,314145.549033,314147.5498153,314149.5512204,314153.5516882,314154.5532846,314158.5537784,314158.5546355,314161.5553977,4.000467799953185,4.000493799976539
54,acquire,,1,apple,school_desk,0,314161.5566584,314161.5572795,314163.5601067,314165.5608262,314169.5614417,314170.563762,314174.5642239,314174.5650981,314177.5652439,4.0006154999719,4.000461899966467
55,acquire,,2,cup,school_desk,0,314177.5670015,314177.5673963,314179.5686127,314181.5699567,314185.5705156,314186.5736386,314190.5739152,314190.5748746,314193.5755178,4.000558899948373,4.000276600010693
56,acquire,,1,cup,school_desk,0,314193.5766839,314193.5771651,314195.5783154,314197.5799837,314201.5805398,314202.5835389,314206.5840335,314206.5848256,314209.5851717,4.0005560999852605,4.0004945999826305
57,acquire,,1,bottle,school_desk,0,314209.5867399,314209.5871474,314211.5884091,314213.5893333,314217.5900272,314218.5922412,314222.5926736,314222.5935841,314225.5940473,4.0006938999868,4.000432400032878
58,acquire,,2,bottle,school_desk,0,314225.5951568,314225.595439,314227.5970266,314229.5988992,314233.5990272,314234.6011661,314238.601599,314238.6029661,314241.6035033,4.000128000043333,4.0004328999784775
59,acquire,,2,apple,school_desk,0,314241.6052082,314241.6055405,314243.6067691,314245.6077758,314249.608112,314250.6098797,314254.6102026,314254.6112962,314257.6119401,4.000336199998856,4.000322900013998
