trial_id,phase,learn_step,label,object,scene,rejected,t_trial_start,t_fixation,t_cue,t_mi_start,t_mi_end,t_rest_start,t_rest_end,t_transition,t_trial_end,mi_dur,rest_dur
1,adapt,,1,cup,home_desk,0,316049.3858636,316049.3863108,316051.3873537,316053.3890165,316057.3893513,316058.3915853,316062.3916631,316062.3923879,316065.393015,4.000334800046403,4.000077800010331
2,adapt,,2,cup,home_desk,0,316065.3944012,316065.394801,316067.3968612,316069.3977689,316073.3981963,316074.4008262,316078.401351,316078.4019339,316081.4024123,4.000427400053013,4.0005247999797575
3,acquire,,2,bottle,home_desk,0,316081.4044012,316081.4047872,316083.4060666,316085.4071767,316089.4073611,316090.4108363,316094.4112585,316094.4120227,316097.4124537,4.000184400007129,4.000422200013418
4,acquire,,1,bottle,home_desk,0,316097.4136624,316097.4141915,316099.4158319,316101.4175399,316105.4178901,316106.4199587,316110.4210012,316110.4226816,316113.4232868,4.000350199989043,4.00104249996366
5,acquire,,1,apple,home_desk,0,316113.4251325,316113.4255741,316115.4269275,316117.4281737,316121.4286451,316122.4302783,316126.4308526,316126.4321199,316129.4322479,4.000471399980597,4.000574300007429
6,acquire,,2,apple,home_desk,0,316129.4330658,316129.433375,316131.4350462,316133.4369139,316137.4374058,316138.4397266,316142.4400979,316142.4412162,316145.4416906,4.000491899962071,4.000371299975086
7,acquire,,1,cup,home_desk,0,316145.4433964,316145.4447444,316147.4458207,316149.4473398,316153.4474918,316154.4507008,316158.4511772,316158.4521134,316161.4524783,4.00015199999325,4.00047640001867
8,acquire,,2,cup,home_desk,0,316161.4536639,316161.4543446,316163.4554554,316165.4565095,316169.4570831,316170.4598968,316174.4606171,316174.4619689,316177.4623148,4.000573600002099,4.0007203000131994
9,acquire,,2,bottle,home_desk,0,316177.4637371,316177.4640238,316179.46559,316181.4680828,316185.4684894,316186.4723877,316190.4725364,316190.4738326,316193.4741261,4.000406600011047,4.00014870002633
10,acquire,,1,bottle,home_desk,0,316193.4757139,316193.4765192,316195.4776791,316197.4792766,316201.4797976,316202.4833152,316206.4838042,316206.484598,316209.4849733,4.00052100000903,4.000488999998197
11,acquire,,1,apple,hospital_desk,0,316209.4870664,316209.4875555,316211.4881846,316213.4894849,316217.4900465,316218.4922968,316222.4925645,316222.4935349,316225.4941111,4.000561599968933,4.000267700001132
12,acquire,,2,apple,hospital_desk,0,316225.495772,316225.4965138,316227.4979151,316229.4992044,316233.499311,316234.5013187,316238.5020487,316238.502888,316241.5031136,4.000106599996798,4.000730000028852
13,acquire,,1,cup,hospital_desk,0,316241.5050524,316241.5065989,316243.507722,316245.5091129,316249.5093007,316250.5122436,316254.5126164,316254.5139059,316257.5140202,4.00018779997481,4.000372800044715
14,acquire,,2,cup,hospital_desk,0,316257.5151783,316257.515888,316259.5169876,316261.5181815,316265.5187272,316266.5213268,316270.5217292,316270.5227056,316273.5230391,4.0005456999642774,4.000402399979066
15,acquire,,2,bottle,hospital_desk,0,316273.5248758,316273.5256375,316275.5270999,316277.5280766,316281.5281657,316282.5304347,316286.5308637,316286.5318525,316289.5320307,4.000089099979959,4.000429000006989
16,acquire,,1,bottle,hospital_desk,0,316289.533486,316289.5344441,316291.5356329,316293.5364744,316297.5369265,316298.5398011,316302.5402175,316302.5409473,316305.5416213,4.000452099950053,4.000416400027461
17,acquire,,1,apple,hospital_desk,0,316305.5432905,316305.5438299,316307.544745,316309.5473537,316313.5478565,316314.5503204,316318.5506532,316318.5519413,316321.5523219,4.000502800045069,4.000332800031174
18,acquire,,2,apple,hospital_desk,0,316321.5540885,316321.5550032,316323.5562729,316325.5582112,316329.5588766,316330.5627278,316334.5631988,316334.5644855,316337.5647728,4.000665400002617,4.000471000035759
19,acquire,,1,cup,hospital_desk,0,316337.5667265,316337.5673358,316339.5681293,316341.5694839,316345.5700688,316346.5724296,316350.5729602,316350.5742869,316353.5751073,4.000584900029935,4.000530600023922
20,acquire,,2,cup,hospital_desk,0,316353.5763952,316353.5768227,316355.5781247,316357.5798201,316361.5802699,316362.5823065,316366.5830845,316366.5840167,316369.5843634,4.000449799990747,4.000777999986894
21,acquire,,2,bottle,school_desk,0,316369.5857142,316369.5861959,316371.5871595,316373.5887834,316377.5890881,316378.5916219,316382.5920378,316382.5928333,316385.59304,4.00030469999183,4.000415900023654
